"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hg19-TRPT1",1.59803082526596e-89,0.256949139987462,0.802,0.428,2.89115736907118e-85,"2","hg19-TRPT1"
"hg19-CISD3",2.21612650675118e-89,0.321890956356957,0.957,0.685,4.00941607601424e-85,"2","hg19-CISD3"
"hg19-CCDC124",2.47802332747645e-89,0.259298618330937,0.851,0.465,4.48323980407039e-85,"2","hg19-CCDC124"
"hg19-NAA10",3.56534882239944e-89,0.325254135165345,0.965,0.737,6.45042908948507e-85,"2","hg19-NAA10"
"hg19-NAV1",5.326297646715e-88,0.340445440495105,0.952,0.658,9.63633770243678e-84,"2","hg19-NAV1"
"hg19-G3BP1",5.99832776463849e-88,0.259364492385384,0.823,0.44,1.0852174591784e-83,"2","hg19-G3BP1"
"hg19-PRDX3",1.06628644730857e-87,0.256471802587013,0.825,0.448,1.92912544047067e-83,"2","hg19-PRDX3"
"hg19-STRAP",5.63189443800026e-87,0.315836594638885,0.956,0.677,1.01892234172301e-82,"2","hg19-STRAP"
"hg19-MRPL23",1.44758564420294e-86,0.317308037661595,0.983,0.821,2.61897194749196e-82,"2","hg19-MRPL23"
"hg19-SERBP1",2.54861572107575e-86,0.304894876940928,0.991,0.825,4.61095556257024e-82,"2","hg19-SERBP1"
"hg19-ATP5O",7.54777671676462e-86,0.325549952271894,0.984,0.832,1.36554376359706e-81,"2","hg19-ATP5O"
"hg19-MLEC",6.88412367664609e-85,0.272180304156871,0.851,0.488,1.24547565557881e-80,"2","hg19-MLEC"
"hg19-FBLN21",1.2523749482493e-84,0.292265974946331,0.86,0.496,2.26579675637263e-80,"2","hg19-FBLN2"
"hg19-SPARC",1.48562644875997e-84,0.274868247756729,0.999,0.995,2.68779537109654e-80,"2","hg19-SPARC"
"hg19-COL6A11",2.08905696364882e-84,0.353472505384882,0.999,0.989,3.77952185863344e-80,"2","hg19-COL6A1"
"hg19-NDUFA41",2.19934591873649e-84,0.395686172340816,0.999,0.96,3.97905663617805e-80,"2","hg19-NDUFA4"
"hg19-EIF4A1",2.28349230586342e-84,0.283474281387435,0.999,0.931,4.1312942797681e-80,"2","hg19-EIF4A1"
"hg19-ATP5L",2.08281673921834e-82,0.273431677685983,0.999,0.987,3.76823204459382e-78,"2","hg19-ATP5L"
"hg19-VDAC1",9.08400882696148e-82,0.30168478822545,0.958,0.722,1.64347887697387e-77,"2","hg19-VDAC1"
"hg19-LAMTOR1",9.35057823559482e-82,0.319036694286923,0.993,0.855,1.69170661438382e-77,"2","hg19-LAMTOR1"
"hg19-SH3PXD2A",8.21499661474678e-81,0.306273584868875,0.932,0.645,1.48625718753999e-76,"2","hg19-SH3PXD2A"
