"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Eif2b1",5.95607581608761e-27,0.253820869108956,0.627,0.37,9.23727798317027e-23,"2","mm10-Eif2b1"
"mm10-Nudcd2",8.06874746898315e-27,0.337525396793102,0.893,0.757,1.2513820449646e-22,"2","mm10-Nudcd2"
"mm10-Tm9sf2",8.63860732896473e-27,0.261147084220799,0.817,0.553,1.33976161064914e-22,"2","mm10-Tm9sf2"
"mm10-Papola",1.30098823550903e-26,0.294470390852432,0.937,0.769,2.01770265445096e-22,"2","mm10-Papola"
"mm10-Ybx31",2.28382204413134e-26,0.353674116119152,0.95,0.797,3.54197960824329e-22,"2","mm10-Ybx3"
"mm10-Kdm6b",7.93704986762288e-26,0.298511364064836,0.563,0.305,1.23095706396963e-21,"2","mm10-Kdm6b"
"mm10-Ube2f1",8.32762933935656e-26,0.280993764246357,0.862,0.641,1.29153203424081e-21,"2","mm10-Ube2f"
"mm10-Srp9",1.08046461037663e-25,0.298179380968811,0.978,0.925,1.67569256423312e-21,"2","mm10-Srp9"
"mm10-Carhsp1",1.87606698147467e-25,0.345091766354459,0.917,0.746,2.90959228156907e-21,"2","mm10-Carhsp1"
"mm10-Vma21",2.29491260642678e-25,0.29403581075435,0.906,0.737,3.55917996130729e-21,"2","mm10-Vma21"
"mm10-Ftl1",2.34536771387592e-25,0.502191087881962,1,1,3.63743078745017e-21,"2","mm10-Ftl1"
"mm10-Ube2b",3.01023586769793e-25,0.288187711980729,0.895,0.728,4.66857480721272e-21,"2","mm10-Ube2b"
"mm10-Fnta",4.01314294027852e-25,0.277670218233119,0.906,0.719,6.22398338607795e-21,"2","mm10-Fnta"
"mm10-Ube2v2",4.58438756093922e-25,0.355554728293544,0.803,0.649,7.10992666826063e-21,"2","mm10-Ube2v2"
"mm10-Mrpl4",4.94411227753828e-25,0.252136230235472,0.788,0.552,7.66782373123412e-21,"2","mm10-Mrpl4"
"mm10-Mrps14",9.05006616583509e-25,0.314222269512619,0.959,0.9,1.40357476165936e-20,"2","mm10-Mrps14"
"mm10-1110065P20Rik1",1.12006191963342e-24,0.293690649681929,0.95,0.789,1.73710403115947e-20,"2","mm10-1110065P20Rik"
"mm10-Polr2l",1.22906806162036e-24,0.288862478151837,0.838,0.591,1.90616165676701e-20,"2","mm10-Polr2l"
"mm10-Iscu1",1.39960089062736e-24,0.319768457219552,0.961,0.874,2.17064102127398e-20,"2","mm10-Iscu"
"mm10-Znhit1",2.16297131532898e-24,0.285988769043546,0.902,0.796,3.35455221294371e-20,"2","mm10-Znhit1"
"mm10-BC0040041",2.9813521360485e-24,0.276533089271631,0.893,0.721,4.62377902779762e-20,"2","mm10-BC004004"
"mm10-Ctsb",3.1400473017591e-24,0.410092122645401,0.926,0.769,4.86989936029818e-20,"2","mm10-Ctsb"
"mm10-Atp6v0b",4.27653701019254e-24,0.297928335047319,0.956,0.861,6.63248124910762e-20,"2","mm10-Atp6v0b"
"mm10-Gchfr1",5.24956270352076e-24,0.491680209393397,0.755,0.508,8.14154679689034e-20,"2","mm10-Gchfr"
"mm10-Mpv17l2",6.38412726875195e-24,0.264931012101293,0.801,0.548,9.90114298110741e-20,"2","mm10-Mpv17l2"
"mm10-Mrpl28",7.91182300986733e-24,0.2967736332374,0.956,0.892,1.22704463060032e-19,"2","mm10-Mrpl28"
"mm10-Commd6",1.31594363943226e-23,0.257657722638369,0.838,0.631,2.04089699039549e-19,"2","mm10-Commd6"
